1341.3,0.00,2.51,57.90,
1341.3,0.00,2.51,57.90,
1340.2,0.00,0.24,57.93,
1339.9,0.00,0.51,57.96,
1339.5,0.00,0.02,57.98,
1339.2,0.00,-0.87,58.01,
1339.2,0.00,-4.80,58.04,
1337.8,0.00,-0.29,58.07,
1337.2,0.00,2.47,58.10,
1337.0,0.00,10.70,58.13,
1336.8,0.00,37.01,58.16,
1336.7,0.00,54.09,58.19,
1337.0,0.00,22.76,58.22,
1336.9,0.00,9.88,58.25,
1337.3,0.00,14.19,58.29,
1337.3,0.00,9.50,58.32,
1337.3,0.00,2.78,58.36,
1337.3,0.00,24.21,58.39,
1336.9,0.00,16.49,58.42,
1336.8,0.00,13.41,58.46,
1336.5,0.00,4.46,58.50,
1336.3,0.00,-0.37,58.54,
1336.2,0.00,-12.04,58.57,
1336.1,0.00,-15.72,58.61,
1336.2,0.00,-1.34,58.65,
1336.6,0.00,-0.04,58.69,
1337.0,0.00,-3.97,58.73,
1337.1,0.00,-0.25,58.77,
1337.0,0.00,-12.02,58.81,
1337.1,0.00,-27.70,58.85,
1336.8,0.00,-13.55,58.89,
1335.8,0.00,7.71,58.93,
1335.4,0.00,13.54,58.97,
1335.3,0.00,16.77,59.01,
1335.2,0.00,16.04,59.05,
1335.1,0.00,16.00,59.09,
1335.0,0.00,3.65,59.14,
1336.0,0.00,-0.90,59.19,
1336.4,0.00,-0.06,59.23,
1336.6,0.00,-10.51,59.27,
1336.6,0.00,2.27,59.32,
1336.7,0.00,15.25,59.36,
1336.6,0.00,15.36,59.41,
1334.8,0.00,2.96,59.46,
1334.3,0.00,0.11,59.50,
1334.1,0.00,2.11,59.54,
1333.9,0.00,0.10,59.60,
1333.8,0.00,0.00,59.64,
1333.8,0.00,0.00,59.69,
1335.9,0.00,-2.97,59.73,
1336.4,0.00,12.42,59.79,
1336.6,0.00,18.73,59.84,
1336.8,0.00,5.47,59.88,
1338.6,0.00,-6.53,59.93,
1338.6,0.00,-6.37,59.98,
1336.5,0.00,-8.76,60.03,
1336.3,0.00,-0.73,60.08,
1336.1,0.00,4.16,60.13,
1336.0,0.00,2.21,60.18,
1336.0,0.00,-14.30,60.23,
1336.1,0.00,-4.11,60.28,
1338.1,0.00,11.52,60.33,
1338.4,0.00,15.80,60.38,
1338.6,0.00,5.29,60.44,
1338.8,0.00,0.21,60.48,
1339.0,0.00,0.01,60.53,
1339.0,0.00,-9.05,60.59,
1337.4,0.00,-2.65,60.64,
1337.2,0.00,-0.11,60.69,
1337.0,0.00,3.99,60.75,
1336.9,0.00,0.81,60.80,
1336.8,0.00,13.90,60.86,
1336.8,0.00,14.46,60.91,
1337.7,0.00,0.97,60.96,
1337.9,0.00,-7.48,61.02,
1338.0,0.00,-3.71,61.07,
1338.1,0.00,-0.25,61.13,
1338.1,0.00,-0.01,61.18,
1337.9,0.00,-0.00,61.25,
1337.0,0.00,-0.00,61.30,
1336.8,0.00,-0.00,61.35,
1336.5,0.00,-0.00,61.41,
1336.4,0.00,-0.00,61.47,
1336.3,0.00,-9.76,61.53,
1336.4,0.00,-18.16,61.59,
1337.1,0.00,-31.16,61.65,
1337.2,0.00,-23.54,61.70,
1337.4,0.00,-16.47,61.77,
1337.7,0.00,-6.10,61.83,
1337.9,0.00,-0.25,61.89,
1337.8,0.00,4.79,61.95,
1336.5,0.00,15.41,62.02,
1336.2,0.00,7.51,62.08,
1336.0,0.00,-5.10,62.14,
